Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,"nesting_resources (resins, floral oils, leaf materials, etc)",nesting_resources_ref,nesting_place,reference,habitat,reference
Andrenidae,,Andreninini,,Andrena_vaga,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_erythrogaster,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_carlini,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pruni,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_transnigra,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_dunningi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_regularis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_perplexa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_barbara,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_cineraria,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_barbareae,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fedtschenkoi,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_osmioides,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_albopunctata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_macra,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_torulosa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_bicolorata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_florentina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nigroaenea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_elmaria,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_pyrozonata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_parathoracica,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_watasei,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_thoracica,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nitida,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_limata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_flavipes,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_notophila,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_vachali,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_gravida,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_sigiella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_chrysopyga,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fuscocalcarata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_morio,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_commoda,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nivalis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_vicina,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_dentata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_sagittagalea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ziziaeformis,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_violae,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_algida,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_ruficrus,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_astragali,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_tridens,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_distans,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_geranii,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_lawrencei,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_misella,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nigrocaerulea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_caerulea,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_nigrihirta,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_erigeniae,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_luridiloma,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fulvida,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_bicolor,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_allosa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_amieti,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_montana,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_solenopalpa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_symphyti,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_chrysopus,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_fulvata,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_angustior,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_igraeca,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_rufula,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_granulosa,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
Andrenidae,,Andreninini,,Andrena_scrophulariae,solitary,,some communal,Michener 1969,,,ground,Michener 1969,,
